                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -5.24497883396218e-03
 9.75645841451712e-01 -1.66050547618556e-03
 9.51267996713626e-01  1.02745030411179e-03
 9.26857395232897e-01  2.74153320682213e-03
 9.02462288019600e-01  3.60249838079501e-03
 8.78152775421181e-01  3.37864355114147e-03
 8.53994773493688e-01  2.29929253297628e-03
 8.30043339432980e-01  2.96289008744196e-04
 8.06350005311894e-01 -2.51913538415003e-03
 7.82965144364319e-01 -6.20833224054751e-03
 7.59948801821646e-01 -1.06967378201959e-02
 7.37319131700703e-01 -1.58603445518427e-02
 7.15088419857079e-01 -2.15996208276071e-02
 6.93261824372805e-01 -2.77542301879045e-02
 6.71833468011724e-01 -3.42184308482877e-02
 6.50804711390162e-01 -4.09240669691951e-02
 6.30141512404503e-01 -4.76866528780321e-02
 6.09837812774053e-01 -5.44465840913477e-02
 5.89872307166823e-01 -6.10931849680254e-02
 5.70230130671638e-01 -6.75386222169406e-02
 5.50904230244093e-01 -7.37332849975678e-02
 5.31883630718349e-01 -7.95862909613354e-02
 5.13172992183582e-01 -8.51012847703607e-02
 4.94767264656601e-01 -9.01774095939014e-02
 4.76673294412339e-01 -9.48512648473147e-02
 4.58898053157894e-01 -9.90243465292640e-02
 4.41447072938640e-01 -1.02759091974048e-01
 4.24341993393592e-01 -1.05996691504190e-01
 4.07588954932236e-01 -1.08824944201108e-01
 3.91206413999134e-01 -1.11177666784064e-01
 3.75200103313324e-01 -1.13240767337110e-01
 3.59582867557447e-01 -1.14897761021252e-01
 3.44363902258680e-01 -1.16177769648708e-01
 3.29545948254344e-01 -1.17114988798283e-01
 3.15141800080960e-01 -1.17508031516248e-01
 3.01145928432689e-01 -1.17744135923365e-01
 2.87570116854715e-01 -1.17819565676182e-01
 2.74407442079863e-01 -1.17455603283582e-01
 2.61661065510763e-01 -1.16826069512175e-01
 2.49331065994159e-01 -1.16052121702439e-01
 2.37408329948167e-01 -1.14979526159917e-01
 2.25897832267547e-01 -1.13766326958406e-01
 2.14787666827442e-01 -1.12354173386869e-01
 2.04075001500994e-01 -1.10762835669105e-01
 1.93759075737429e-01 -1.09061547183213e-01
 1.83824495562517e-01 -1.07194077584006e-01
 1.74269510820221e-01 -1.05212812906800e-01
 1.65088056867475e-01 -1.03149918056897e-01
 1.56264590391008e-01 -1.00972259677712e-01
 1.47796667579899e-01 -9.87223764210485e-02
 1.39676379860518e-01 -9.64209147352208e-02
 1.31887640910799e-01 -9.40455910744646e-02
 1.24426552851711e-01 -9.16275903306940e-02
 1.17285970879840e-01 -8.91872454001633e-02
 1.10448917620461e-01 -8.67067035558344e-02
 1.03909378241933e-01 -8.42062693837283e-02
 9.76614664811472e-02 -8.17073160261950e-02
 9.16890400409400e-02 -7.92011170950251e-02
 8.59833587276231e-02 -7.66917079674782e-02
 8.05399206086645e-02 -7.41939511103705e-02
 7.53496159662257e-02 -7.17149044094662e-02
 7.03962083371455e-02 -6.92461821862688e-02
 6.56755420292536e-02 -6.67967548832565e-02
 6.11832477139510e-02 -6.43755996556391e-02
 5.69073186756017e-02 -6.19836671048642e-02
 5.28343089868923e-02 -5.96167881920834e-02
 4.89622565317662e-02 -5.72807902540977e-02
 4.52879010439329e-02 -5.49808105525283e-02
 4.17982978527937e-02 -5.27183772705539e-02
 3.84796312229978e-02 -5.04902768214906e-02
 3.53342483712905e-02 -4.82970034499613e-02
 3.23625090771361e-02 -4.61392135906627e-02
 2.95566550999139e-02 -4.40174512345095e-02
 2.68943331712506e-02 -4.19307646333294e-02
 2.43799169198672e-02 -3.98787023532941e-02
 2.20175063808490e-02 -3.78613500096381e-02
 1.98082417044812e-02 -3.58788975330290e-02
 1.77223952849625e-02 -3.39319175913542e-02
 1.57554099394321e-02 -3.20186490890486e-02
 1.39218133280527e-02 -3.01373440570017e-02
 1.22312563501140e-02 -2.82869693147598e-02
 1.06821655350668e-02 -2.64660717766472e-02
 9.22770696826892e-03 -2.46708567345010e-02
 7.87787284757333e-03 -2.29051050938495e-02
 6.65031922277053e-03 -2.11727215947325e-02
 5.55693697587818e-03 -1.94769801211224e-02
 4.58409935011458e-03 -1.78185981237992e-02
 3.63796375842580e-03 -1.61907525971868e-02
 2.77188955778242e-03 -1.46108020656633e-02
 2.04672494139500e-03 -1.30687745472649e-02
 1.50680205227159e-03 -1.15690141922861e-02
 1.17011426726853e-03 -1.01131919101913e-02
 9.02153242724690e-04 -8.68804075149769e-03
 6.64686864955970e-04 -7.29761966998653e-03
 4.61141936983708e-04 -5.94972954739702e-03
 2.94235384849961e-04 -4.65023119275556e-03
 1.65121244352691e-04 -3.40327307085054e-03
 7.33831869959745e-05 -2.21158440153191e-03
 1.86702734528530e-05 -1.07689326143368e-03
 0.00000000000000e+00  0.00000000000000e+00
 3.35510225673433e-05  1.07306154904588e-03
 1.37662781238969e-04  2.22887285749851e-03
 3.04543274769780e-04  3.42546030538516e-03
 5.26589931485036e-04  4.66109854713575e-03
 7.91212612638483e-04  5.94104937072941e-03
 1.08039623963544e-03  7.26468108488991e-03
 1.38427148805950e-03  8.63032087883986e-03
 1.75238718188864e-03  1.00504207281216e-02
 2.20072375462224e-03  1.15278588033371e-02
 2.72780167006290e-03  1.30607906086227e-02
 3.33038610200360e-03  1.46461994233933e-02
 4.00241663797938e-03  1.62796455966105e-02
 4.73487790369931e-03  1.79550576673382e-02
 5.53238970143899e-03  1.96684433282839e-02
 6.45574269346417e-03  2.14298995823809e-02
 7.50650066280535e-03  2.32397711556832e-02
 8.67443263413248e-03  2.50967973069323e-02
 9.94424548992037e-03  2.69993679221815e-02
 1.12944037596628e-02  2.89452937142043e-02
 1.27423260392587e-02  3.09377459922119e-02
 1.43262343630940e-02  3.29804210401416e-02
 1.60441548754257e-02  3.50696579961792e-02
 1.78915742455336e-02  3.72004976592561e-02
 1.98605403299986e-02  3.93671641548019e-02
 2.19639553488290e-02  4.15689497085906e-02
 2.42320390843896e-02  4.38109494643097e-02
 2.66619247433867e-02  4.60909377385705e-02
 2.92472462178082e-02  4.84062289856016e-02
 3.19794493678308e-02  5.07542595335440e-02
 3.48844160340570e-02  5.31392263680181e-02
 3.79754464154373e-02  5.55596060263142e-02
 4.12512170937208e-02  5.80099848944687e-02
 4.47076191579489e-02  6.04845326055879e-02
 4.83576337239033e-02  6.29844059990583e-02
 5.22214423930275e-02  6.55122188639217e-02
 5.62991021269180e-02  6.80609421820478e-02
 6.05881675924004e-02  7.06223406324756e-02
 6.51013341096977e-02  7.31985623761050e-02
 6.98567609788325e-02  7.57922011849077e-02
 7.48554274084450e-02  7.83923735088302e-02
 8.00969486196021e-02  8.09878541754253e-02
 8.56000763510620e-02  8.35883523999736e-02
 9.13754560263876e-02  8.61874061429067e-02
 9.74248040187071e-02  8.87659653479448e-02
 1.03755598672555e-01  9.13162268766054e-02
 1.10387140362517e-01  9.38505390593751e-02
 1.17321587601365e-01  9.63492881161608e-02
 1.24560803085395e-01  9.87944988763132e-02
 1.32123905571973e-01  1.01206025241610e-01
 1.40016899874773e-01  1.03560361092822e-01
 1.48241727078495e-01  1.05823887087981e-01
 1.56815734224028e-01  1.08023481105185e-01
 1.65744569405447e-01  1.10136415916800e-01
 1.75028407423538e-01  1.12122426884122e-01
 1.84683607067792e-01  1.14020786646060e-01
 1.94713793281897e-01  1.15793194284767e-01
 2.05119804177852e-01  1.17397128967437e-01
 2.15916765814942e-01  1.18889756844764e-01
 2.27103119016396e-01  1.20197864484524e-01
 2.38682536543092e-01  1.21329498710403e-01
 2.50664920084511e-01  1.22318446079315e-01
 2.63045630266282e-01  1.23022781232947e-01
 2.75834130123635e-01  1.23611337537561e-01
 2.89028891216229e-01  1.23922189540020e-01
 3.02628693618111e-01  1.23866326266153e-01
 3.16639071739163e-01  1.23722469178811e-01
 3.31053481292250e-01  1.23442824175676e-01
 3.45876316013800e-01  1.22715238564953e-01
 3.61102907817856e-01  1.21765992002093e-01
 3.76733003847103e-01  1.20620881503196e-01
 3.92764469385261e-01  1.19218792861747e-01
 4.09194004083567e-01  1.17583016666845e-01
 4.26019472059824e-01  1.15681512062560e-01
 4.43236120510880e-01  1.13552076037811e-01
 4.60840264543573e-01  1.11162180753720e-01
 4.78826039992619e-01  1.08545015831709e-01
 4.97188275617983e-01  1.05679484683063e-01
 5.15921508491692e-01  1.02599982916708e-01
 5.35018178214110e-01  9.92928872151427e-02
 5.54470646339542e-01  9.57781877021947e-02
 5.74269969205745e-01  9.20547257594782e-02
 5.94406107096015e-01  8.81313841699945e-02
 6.14869867811364e-01  8.40228376205513e-02
 6.35649039088434e-01  7.97320982031404e-02
 6.56736327813003e-01  7.52944508940940e-02
 6.78118607221154e-01  7.07170896447103e-02
 6.99785156387664e-01  6.60264129736844e-02
 7.21722020089850e-01  6.12360230669518e-02
 7.43914130803077e-01  5.63598133572874e-02
 7.66349520767211e-01  5.14299260164120e-02
 7.89011568412619e-01  4.64614998526806e-02
 8.11883265503311e-01  4.14720050396138e-02
