                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -5.28741530905972e-03
 9.75662616071716e-01 -1.70030706859343e-03
 9.51301412374671e-01  9.90711634061097e-04
 9.26907360979020e-01  2.70894266328373e-03
 9.02528668422227e-01  3.57400069422214e-03
 8.78235303648684e-01  3.35290896445946e-03
 8.54093108982670e-01  2.27760615474369e-03
 8.30157088873263e-01  2.85554149880779e-04
 8.06478705217846e-01 -2.51141105526662e-03
 7.83108239729244e-01 -6.19484165334574e-03
 7.60105610354397e-01 -1.06769701633058e-02
 7.37489066212293e-01 -1.58355974524295e-02
 7.15270998746612e-01 -2.15701815395335e-02
 6.93456538229394e-01 -2.77203566605178e-02
 6.72039793166204e-01 -3.41803930541307e-02
 6.51022150602625e-01 -4.08821829731756e-02
 6.30369691128639e-01 -4.76418237053466e-02
 6.10076366503667e-01 -5.43996368321415e-02
 5.90120903490085e-01 -6.10451363339026e-02
 5.70488411867105e-01 -6.74904392877254e-02
 5.51171830212523e-01 -7.36859493325574e-02
 5.32160139275563e-01 -7.95408210109140e-02
 5.13457959286116e-01 -8.50585145366264e-02
 4.95060175592686e-01 -9.01382855031962e-02
 4.76973594158977e-01 -9.48164208179127e-02
 4.59205143385130e-01 -9.89946496951378e-02
 4.41760320656883e-01 -1.02734957918164e-01
 4.24660690003245e-01 -1.05978577817758e-01
 4.07912357562952e-01 -1.08812597256544e-01
 3.91533728166321e-01 -1.11170452147407e-01
 3.75530561455284e-01 -1.13288240781840e-01
 3.59915662681986e-01 -1.15009998624871e-01
 3.44698248358259e-01 -1.16348165765561e-01
 3.29881078792804e-01 -1.17337144670092e-01
 3.15476963329351e-01 -1.17781570863988e-01
 3.01480398897523e-01 -1.18060428137303e-01
 2.87903186484498e-01 -1.18169462872457e-01
 2.74738456845808e-01 -1.17836770865926e-01
 2.61989383864009e-01 -1.17235252058518e-01
 2.49656089492993e-01 -1.16485387318183e-01
 2.37729520307233e-01 -1.15434589058171e-01
 2.26214648093310e-01 -1.14239938647304e-01
 2.15099644368568e-01 -1.12843712611396e-01
 2.04381702361059e-01 -1.11265833758282e-01
 1.94060071560634e-01 -1.09575420807002e-01
 1.84119444525278e-01 -1.07716410854437e-01
 1.74558074816534e-01 -1.05741700002378e-01
 1.65369929810888e-01 -1.03683245236370e-01
 1.56539538415536e-01 -1.01507949441810e-01
 1.48064466406157e-01 -9.92584749400341e-02
 1.39936822828764e-01 -9.69559406302550e-02
 1.32140605508107e-01 -9.45776301985535e-02
 1.24671914407912e-01 -9.21549079655344e-02
 1.17523624888239e-01 -8.97083540574450e-02
 1.10678834942803e-01 -8.72202797727435e-02
 1.04131530136690e-01 -8.47111201969683e-02
 9.78758244556449e-02 -8.22024041884740e-02
 9.18956375028746e-02 -7.96854443215469e-02
 8.61822398573858e-02 -7.71642959351339e-02
 8.07311414041630e-02 -7.46539257093712e-02
 7.55332381994690e-02 -7.21617187958109e-02
 7.05723380666698e-02 -6.96792088266084e-02
 6.58442869869263e-02 -6.72154484376161e-02
 6.13447023734454e-02 -6.47795654458861e-02
 5.70616042806743e-02 -6.23725630900703e-02
 5.29815486340737e-02 -5.99902655310199e-02
 4.91026036389842e-02 -5.76386032160220e-02
 4.54214786376572e-02 -5.53228393017337e-02
 4.19252336831924e-02 -5.30446208824580e-02
 3.86001330424779e-02 -5.08006281950865e-02
 3.54484638175825e-02 -4.85914686843521e-02
 3.24705486588103e-02 -4.64178106980050e-02
 2.96586743780034e-02 -4.42802283296306e-02
 2.69905334865354e-02 -4.21778338716131e-02
 2.44704218093029e-02 -4.01101984783754e-02
 2.21023368152278e-02 -3.80775398275178e-02
 1.98874507524286e-02 -3.60799823719177e-02
 1.77961709630395e-02 -3.41180555673859e-02
 1.58239580526247e-02 -3.21899171298223e-02
 1.39852510332017e-02 -3.02938610308795e-02
 1.22896725553939e-02 -2.84289006778638e-02
 1.07355941406532e-02 -2.65934786106428e-02
 9.27645011614635e-03 -2.47837384411019e-02
 7.92212824859301e-03 -2.30037349106065e-02
 6.69018743092446e-03 -2.12573910390484e-02
 5.59242610968520e-03 -1.95480611809083e-02
 4.61528140677807e-03 -1.78765771237669e-02
 3.66550897055183e-03 -1.62370384891262e-02
 2.79607431580038e-03 -1.46533459454799e-02
 2.06764303945411e-03 -1.31075316789073e-02
 1.52424117430131e-03 -1.16039505503906e-02
 1.18362962650768e-03 -1.01442613334026e-02
 9.12264786497697e-04 -8.71527151632445e-03
 6.71858616342202e-04 -7.32099992555192e-03
 4.65553772871575e-04 -5.96921534153486e-03
 2.96775576464743e-04 -4.66582898618594e-03
 1.66748908577509e-04 -3.41497129962977e-03
 7.41478409166436e-05 -2.21929776401342e-03
 1.88517182600456e-05 -1.08066328338969e-03
 0.00000000000000e+00  0.00000000000000e+00
 3.37845763283650e-05  1.07690821859657e-03
 1.39011826106816e-04  2.25326414417782e-03
 3.06529522205330e-04  3.46490730424013e-03
 5.29121761299177e-04  4.71017282520766e-03
 7.94267597228784e-04  5.99793674483078e-03
 1.08320955900783e-03  7.32864171345391e-03
 1.38855451510439e-03  8.70094065058783e-03
 1.75851251448054e-03  1.01276670862174e-02
 2.20898471956932e-03  1.16119061845034e-02
 2.73838656235579e-03  1.31518589364937e-02
 3.34378108693986e-03  1.47445373859170e-02
 4.01893225869599e-03  1.63854476140106e-02
 4.75479677340044e-03  1.80684019351439e-02
 5.55613643543494e-03  1.97894023708909e-02
 6.48335344558039e-03  2.15587824799146e-02
 7.53815035996363e-03  2.33767757861408e-02
 8.71029858151679e-03  2.52420660654008e-02
 9.98462278970987e-03  2.71530335669800e-02
 1.13396608190826e-02  2.91074352796503e-02
 1.27928558228257e-02  3.11084384511690e-02
 1.43820436718629e-02  3.31600848048981e-02
 1.61051674273919e-02  3.52587452177411e-02
 1.79579526042458e-02  3.73990965601447e-02
 1.99325520756738e-02  3.95752440849718e-02
 2.20418598882737e-02  4.17863381008287e-02
 2.43160207319924e-02  4.40375191186654e-02
 2.67521171983363e-02  4.63265760555519e-02
 2.93438470965208e-02  4.86507492289456e-02
 3.20827358016089e-02  5.10074552964629e-02
 3.49945356970586e-02  5.34009548811657e-02
 3.80925170820978e-02  5.58296376189043e-02
 4.13754006910071e-02  5.82879652487908e-02
 4.48390857197043e-02  6.07702241581676e-02
 4.84965416924555e-02  6.32774062441468e-02
 5.23678795639048e-02  6.58121970399781e-02
 5.64531609322907e-02  6.83674637473982e-02
 6.07500046144864e-02  7.09346638197937e-02
 6.52710470858482e-02  7.35161207619881e-02
 7.00343934282951e-02  7.61147182420693e-02
 7.50410360431476e-02  7.87191976649663e-02
 8.02906217925675e-02  8.13181260242216e-02
 8.58018336109639e-02  8.39214710468576e-02
 9.15852760792985e-02  8.65227350204159e-02
 9.76426978658497e-02  8.91024583596186e-02
 1.03981557747993e-01  9.16527613149850e-02
 1.10621064203054e-01  9.41862111768821e-02
 1.17563381307880e-01  9.66832047346830e-02
 1.24810387905751e-01  9.91256050094814e-02
 1.32381120669340e-01  1.01533279475589e-01
 1.40281557808518e-01  1.03882586585806e-01
 1.48513649518038e-01  1.06139492010128e-01
 1.57094649130510e-01  1.08331787111182e-01
 1.66030183673512e-01  1.10436407851216e-01
 1.75320439178890e-01  1.12412443711828e-01
 1.84981693865027e-01  1.14300141756557e-01
 1.95017555758089e-01  1.16060826529891e-01
 2.05428858201555e-01  1.17651534395469e-01
 2.16230652252715e-01  1.19130422438092e-01
 2.27421379859695e-01  1.20423606093812e-01
 2.39004695958928e-01  1.21539510454926e-01
 2.50990445844293e-01  1.22512228990137e-01
 2.63374005070495e-01  1.23199496673820e-01
 2.76164784639422e-01  1.23770047239776e-01
 2.89361255196691e-01  1.24061886829154e-01
 3.02962194267457e-01  1.23986838532477e-01
 3.16973099688461e-01  1.23821093629855e-01
 3.31387442862314e-01  1.23513809878908e-01
 3.46209584521025e-01  1.22756263128889e-01
 3.61434859938188e-01  1.21772093798057e-01
 3.77063013413992e-01  1.20623554330047e-01
 3.93091886377802e-01  1.19217762835911e-01
 4.09518187761267e-01  1.17578446021046e-01
 4.26339764504692e-01  1.15673748024179e-01
 4.43551887392492e-01  1.13541465272135e-01
 4.61150848824515e-01  1.11149149618235e-01
 4.79130790975531e-01  1.08529874260816e-01
 4.97486549449279e-01  1.05662717110526e-01
 5.16212662318480e-01  1.02581944311622e-01
 5.35301556041457e-01  9.92739262625812e-02
 5.54745616817399e-01  9.57586856859398e-02
 5.74535904204723e-01  9.20350671832465e-02
 5.94662402500404e-01  8.81119982837684e-02
 6.15115907717633e-01  8.40040197423425e-02
 6.35884253194605e-01  7.97142926179990e-02
 6.56960124120536e-01  7.52778806721661e-02
 6.78330424789433e-01  7.07020312473625e-02
 6.99984442122432e-01  6.60130491076591e-02
 7.21908254434375e-01  6.12245670147332e-02
 7.44086825756335e-01  5.63504803618294e-02
 7.66508184573954e-01  5.14227487305754e-02
 7.89155749541800e-01  4.64565187076049e-02
 8.12012556424237e-01  4.14692651980903e-02
